RollNumber,DOB - Year (group),EntryGrade (group),Major (group),DistanceToHanoi,EnglishAverageGrade
00163,1988.0,40.0,1.0,0.0,2.3
00164,1987.0,56.0,1.0,125.0,5.8
00166,1988.0,52.0,1.0,109.0,5.03
00167,1988.0,52.0,1.0,125.0,5.37
00168,1988.0,42.0,1.0,0.0,5.53
00169,1988.0,50.0,1.0,41.0,6.53
00170,1988.0,56.0,1.0,0.0,7.37
00171,1989.0,64.0,1.0,0.0,6.37
00172,1988.0,100.0,1.0,122.0,5.93
00173,1988.0,51.0,1.0,0.0,5.97
00176,1986.0,56.0,1.0,0.0,6.13
00177,1988.0,44.0,1.0,0.0,2.9
00178,1984.0,44.0,1.0,0.0,6.2
00179,1988.0,62.0,1.0,117.0,6.27
00180,1987.0,50.0,1.0,316.0,4.6
00181,1988.0,58.0,1.0,0.0,6.37
00183,1988.0,67.0,1.0,0.0,5.47
00184,1988.0,48.0,1.0,49.0,5.7
00185,1988.0,58.0,1.0,109.0,5.6
00186,1988.0,54.0,1.0,0.0,6.4
00187,1987.0,52.0,1.0,55.0,5.37
00189,1984.0,60.0,1.0,0.0,6.4
00190,1987.0,58.0,1.0,0.0,5.9
00192,1988.0,100.0,1.0,0.0,7.3
00194,1988.0,46.0,1.0,256.0,6.07
00195,1987.0,49.0,1.0,0.0,5.6
00197,1988.0,54.0,1.0,111.0,4.5
00198,1988.0,57.0,1.0,433.0,5.4
00200,1988.0,42.0,1.0,316.0,5.53
00201,1988.0,68.0,1.0,145.0,5.47
00202,1987.0,43.0,1.0,0.0,5.8
00203,1988.0,100.0,1.0,530.0,6.27
00204,1988.0,49.0,1.0,80.0,6.9
00205,1988.0,52.0,1.0,178.0,5.63
00206,1988.0,44.0,1.0,0.0,5.63
00207,1986.0,63.0,1.0,501.0,6.57
00208,1988.0,57.0,1.0,0.0,0.05
00209,1988.0,50.0,1.0,65.0,5.7
00211,1988.0,48.0,1.0,1456.0,6.53
00212,1988.0,56.0,1.0,55.0,5.97
00213,1987.0,52.0,1.0,49.0,6.6
00214,1988.0,48.0,1.0,125.0,6.5
00215,1988.0,42.0,1.0,0.0,6.57
00216,1988.0,57.0,1.0,316.0,5.87
00217,1988.0,43.0,1.0,109.0,5.73
00218,1988.0,51.0,1.0,65.0,6.93
00219,1988.0,74.0,1.0,0.0,5.7
00222,1988.0,41.0,1.0,316.0,6.93
00224,1988.0,76.0,1.0,0.0,6.33
00225,1988.0,44.0,1.0,109.0,6.44
00226,1988.0,52.0,1.0,0.0,5.37
00227,1987.0,47.0,1.0,0.0,1.67254902
00229,1984.0,53.0,1.0,0.0,5.73
00232,1988.0,48.0,1.0,0.0,7.7
00233,1987.0,44.0,1.0,55.0,5.7
00234,1988.0,56.0,1.0,360.0,5.87
00238,1987.0,46.0,1.0,198.0,6.4
00239,1988.0,56.0,1.0,316.0,4.154385965
00240,1988.0,59.0,1.0,0.0,6.0
00241,1988.0,59.0,1.0,198.0,5.47
00242,1987.0,69.0,1.0,0.0,5.9
00243,1989.0,54.0,1.0,0.0,5.4
00244,1987.0,53.0,1.0,316.0,3.932941176
00245,1988.0,40.0,1.0,0.0,5.7
00246,1987.0,58.0,1.0,187.0,5.8
00247,1987.0,46.0,1.0,49.0,6.47
00248,1988.0,57.0,1.0,0.0,6.17
00249,1988.0,40.0,1.0,125.0,5.9
00250,1988.0,62.0,1.0,256.0,4.384931507
00251,1988.0,50.0,1.0,0.0,6.73
00252,1988.0,64.0,1.0,0.0,6.83
00253,1987.0,80.0,1.0,0.0,7.97
00254,1987.0,44.0,1.0,122.0,6.0
00255,1988.0,100.0,1.0,1595.0,6.63
00256,1987.0,49.0,1.0,0.0,5.87
00257,1988.0,47.0,1.0,80.0,4.96
00258,1988.0,42.0,1.0,1006.0,5.8
00260,1988.0,52.0,1.0,127.0,5.57
00262,1986.0,63.0,1.0,125.0,5.7
00263,1988.0,58.0,1.0,1805.0,6.17
00264,1985.0,44.0,1.0,0.0,6.07
00265,1988.0,58.0,1.0,49.0,5.67
00266,1987.0,43.0,1.0,0.0,6.47
00269,1988.0,100.0,1.0,1399.0,6.27
00270,1988.0,100.0,1.0,1529.0,6.37
00271,1988.0,73.0,1.0,1529.0,0.0
00272,1982.0,48.0,1.0,0.0,5.6
00273,1988.0,51.0,1.0,767.0,6.1
00274,1988.0,52.0,1.0,41.0,5.7
00275,1985.0,44.0,1.0,1595.0,5.73
00277,1988.0,51.0,1.0,1529.0,6.7
00280,1988.0,42.0,1.0,767.0,6.6
00282,1986.0,58.0,1.0,1529.0,6.37
00283,1988.0,40.0,1.0,1626.0,6.77
00284,1986.0,42.0,1.0,0.0,5.57
00285,1984.0,53.0,1.0,1529.0,6.5
00286,1986.0,41.0,1.0,1529.0,6.3
00287,1988.0,71.0,1.0,0.0,7.37
00288,1987.0,50.0,1.0,1529.0,6.37
00289,1982.0,46.0,1.0,1529.0,6.93
00290,1988.0,40.0,1.0,1529.0,5.87
00291,1988.0,42.0,1.0,1269.0,5.9
00292,1987.0,40.0,1.0,767.0,6.13
00293,1986.0,41.0,1.0,1136.0,6.33
00295,1988.0,47.0,1.0,125.0,6.3
00297,1988.0,100.0,1.0,0.0,6.23
00298,1988.0,44.0,1.0,117.0,5.7
00301,1987.0,65.0,1.0,0.0,5.53
00302,1989.0,100.0,1.0,65.0,8.03
00303,1988.0,78.0,1.0,0.0,6.67
00304,1987.0,73.0,1.0,0.0,6.77
00305,1987.0,95.0,1.0,0.0,7.53
00306,1988.0,71.0,1.0,90.0,5.137288136
00307,1989.0,100.0,1.0,0.0,7.43
00308,1989.0,100.0,1.0,316.0,8.17
00309,1988.0,100.0,1.0,360.0,6.1
00310,1989.0,65.0,1.0,1136.0,7.7
00311,1988.0,69.0,1.0,117.0,6.73
00312,1987.0,78.0,1.0,360.0,5.77
00313,1989.0,82.0,1.0,316.0,4.559322034
00315,1989.0,63.0,1.0,125.0,4.016949153
00316,1989.0,64.0,1.0,0.0,6.13
00317,1989.0,63.0,1.0,0.0,5.93
00318,1989.0,71.0,1.0,41.0,6.83
00319,1990.0,71.0,1.0,0.0,6.13
00320,1989.0,97.0,1.0,316.0,5.83
00322,1987.0,74.0,1.0,49.0,6.6
00323,1989.0,63.0,1.0,198.0,3.9
00324,1990.0,58.0,1.0,0.0,7.0
00325,1988.0,81.0,1.0,316.0,7.13
00326,1989.0,66.0,1.0,302.0,5.176744186
00328,1989.0,93.0,1.0,0.0,3.149315068
00329,1988.0,64.0,1.0,0.0,5.7
00331,1988.0,77.0,1.0,0.0,6.7
00332,1988.0,100.0,1.0,198.0,6.7
00333,1990.0,66.0,1.0,0.0,7.43
00334,1989.0,64.0,1.0,125.0,7.1
00335,1989.0,71.0,1.0,0.0,6.37
00336,1989.0,67.0,1.0,117.0,5.5
00337,1989.0,68.0,1.0,0.0,5.77
00338,1989.0,95.0,1.0,117.0,3.9
00339,1989.0,73.0,1.0,0.0,7.4
00340,1989.0,97.0,1.0,117.0,6.47
00341,1989.0,64.0,1.0,0.0,8.0
